data, 2.1621234, 41.4056165, 61000, 10
data, 2.1677698, 41.4034215, 29000, 20
data, 2.135380995, 41.389714424, 37596, 30
data, 2.1564047, 41.4062419, 36500, 40
data, 2.185382, 41.3855443, 94830, 50
data, 2.178407934, 41.381142750, 37920, 60
data, 2.16018, 41.40352, 42140, 70
data, 2.175268003, 41.379703771, 45787, 80
data, 2.164072884, 41.379806535, 13224, 90
data, 2.1550105, 41.3984803, 51720, 100
data, 2.149045108, 41.394592939, 150000, 1
data, 2.191080074, 41.397724772, 382703, 5
data, 2.169583037, 41.375154356, 75000, 10
data, 2.191159281, 41.399440359, 300250, 20
data, 2.175174697, 41.380544047, 122210, 30
data, 2.175268003, 41.379703771, 241833, 40
